WMC;NOCh;WMC_CK_count;WMC_CK_min;DIT;WMC_CK_25%;NPM;NORM;WMC_CK_std;Bugged;WMC_CK_50%;WMC_CK_mean;NMI;WMC_CK_max;WMC_CK_75%
14.0;0.0;9.0;1.0;1.0;1.0;2.0;0.0;1.0137937550497034;False;1.0;1.5555555555555556;0.0;4.0;2.0
14.0;0.0;9.0;1.0;1.0;1.0;2.0;0.0;1.0137937550497034;False;1.0;1.5555555555555556;0.0;4.0;2.0
21.0;0.0;10.0;1.0;1.0;1.25;10.0;0.0;0.8755950357709131;False;2.0;1.9;0.0;4.0;2.0
6.0;0.0;3.0;2.0;1.0;2.0;2.0;0.0;0.0;False;2.0;2.0;0.0;2.0;2.0
39.0;0.0;31.0;1.0;1.0;1.0;30.0;0.0;0.6925098500910426;False;1.0;1.2903225806451613;0.0;4.0;1.0
3.0;0.0;2.0;1.0;1.0;1.0;0.0;0.0;0.0;False;1.0;1.0;0.0;1.0;1.0
67.0;0.0;22.0;1.0;1.0;1.0;10.0;0.0;2.95456210451519;False;2.0;3.4090909090909087;0.0;12.0;4.75
14.0;0.0;10.0;1.0;1.0;1.0;7.0;0.0;1.5811388300841898;False;1.0;1.5;0.0;6.0;1.0
0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;False;0.0;0.0;0.0;0.0;0.0
1.0;0.0;1.0;1.0;1.0;1.0;0.0;0.0;0.0;False;1.0;1.0;0.0;1.0;1.0
15.0;0.0;7.0;1.0;1.0;1.0;7.0;0.0;1.3451854182690983;False;2.0;2.142857142857143;0.0;4.0;3.0
48.0;0.0;41.0;1.0;1.0;1.0;37.0;0.0;0.7674792441779141;False;1.0;1.2439024390243902;0.0;5.0;1.0
32.0;0.0;2.0;1.0;1.0;8.25;2.0;0.0;20.506096654409877;False;15.5;15.5;0.0;30.0;22.75
0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;False;0.0;0.0;0.0;0.0;0.0
51.0;0.0;25.0;1.0;1.0;1.0;24.0;0.0;1.5811388300841898;False;1.0;2.2;0.0;7.0;3.0
51.0;0.0;1.0;2.0;1.0;2.0;24.0;0.0;0.0;False;2.0;2.0;0.0;2.0;2.0
51.0;0.0;1.0;1.0;1.0;1.0;24.0;0.0;0.0;False;1.0;1.0;0.0;1.0;1.0
1.0;0.0;1.0;1.0;1.0;1.0;1.0;0.0;0.0;False;1.0;1.0;0.0;1.0;1.0
24.0;0.0;16.0;1.0;1.0;1.0;15.0;0.0;0.7187952884282609;False;1.0;1.375;0.0;3.0;1.25
34.0;0.0;22.0;1.0;1.0;1.0;20.0;0.0;1.6618979396776332;False;1.0;2.0;0.0;8.0;3.0
32.0;0.0;21.0;1.0;1.0;1.0;18.0;0.0;1.4832396974191326;False;1.0;2.0;0.0;6.0;3.0
66.0;0.0;54.0;1.0;1.0;1.0;52.0;0.0;0.6165660861937711;False;1.0;1.1851851851851851;0.0;4.0;1.0
0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;False;0.0;0.0;0.0;0.0;0.0
0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;False;0.0;0.0;0.0;0.0;0.0
4.0;0.0;3.0;1.0;1.0;1.0;3.0;0.0;0.0;False;1.0;1.0;0.0;1.0;1.0
18.0;0.0;16.0;1.0;1.0;1.0;16.0;0.0;0.0;False;1.0;1.0;0.0;1.0;1.0
4.0;0.0;2.0;3.0;1.0;3.0;2.0;0.0;0.0;False;3.0;3.0;0.0;3.0;3.0
1.0;0.0;1.0;1.0;1.0;1.0;0.0;0.0;0.0;False;1.0;1.0;0.0;1.0;1.0
1.0;0.0;1.0;1.0;1.0;1.0;0.0;0.0;0.0;False;1.0;1.0;0.0;1.0;1.0
2.0;0.0;1.0;1.0;1.0;1.0;0.0;0.0;0.0;False;1.0;1.0;0.0;1.0;1.0
3.0;0.0;2.0;1.0;1.0;1.0;0.0;0.0;0.0;False;1.0;1.0;0.0;1.0;1.0
14.0;0.0;13.0;1.0;1.0;1.0;0.0;0.0;0.0;False;1.0;1.0;0.0;1.0;1.0
1.0;0.0;1.0;1.0;1.0;1.0;0.0;0.0;0.0;False;1.0;1.0;0.0;1.0;1.0
0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;False;0.0;0.0;0.0;0.0;0.0
50.0;0.0;17.0;1.0;1.0;1.0;17.0;0.0;2.4479883698301204;False;2.0;3.3529411764705883;0.0;8.0;5.0
16.0;0.0;11.0;1.0;1.0;1.0;11.0;0.0;0.4045199174779453;False;1.0;1.181818181818182;0.0;2.0;1.0
25.0;0.0;14.0;1.0;1.0;2.0;6.0;0.0;1.1217137594956024;False;2.0;2.2142857142857144;0.0;5.0;2.0
14.0;0.0;9.0;1.0;1.0;1.0;8.0;0.0;0.7264831572567789;False;1.0;1.4444444444444444;0.0;3.0;2.0
47.0;0.0;8.0;2.0;1.0;2.75;8.0;0.0;5.926634795564849;False;3.5;6.375;0.0;18.0;7.75
18.0;0.0;16.0;1.0;1.0;1.0;13.0;0.0;1.0;False;1.0;1.25;0.0;5.0;1.0
18.0;0.0;3.0;2.0;1.0;2.5;13.0;0.0;1.0;False;3.0;3.0;0.0;4.0;3.5
8.0;0.0;8.0;1.0;1.0;1.0;8.0;0.0;0.0;False;1.0;1.0;0.0;1.0;1.0
8.0;0.0;7.0;1.0;1.0;1.0;0.0;0.0;0.0;False;1.0;1.0;0.0;1.0;1.0
1.0;0.0;1.0;1.0;1.0;1.0;1.0;0.0;0.0;False;1.0;1.0;0.0;1.0;1.0
0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;False;0.0;0.0;0.0;0.0;0.0
1.0;0.0;1.0;1.0;1.0;1.0;0.0;0.0;0.0;False;1.0;1.0;0.0;1.0;1.0
1.0;0.0;1.0;1.0;1.0;1.0;0.0;0.0;0.0;False;1.0;1.0;0.0;1.0;1.0
0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;False;0.0;0.0;0.0;0.0;0.0
49.0;0.0;8.0;3.0;1.0;3.0;4.0;0.0;11.096975134821973;False;3.5;8.0;0.0;35.0;5.25
0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;False;0.0;0.0;0.0;0.0;0.0
11.0;0.0;10.0;1.0;1.0;1.0;0.0;0.0;0.0;False;1.0;1.0;0.0;1.0;1.0
4.0;0.0;1.0;5.0;1.0;5.0;1.0;0.0;0.0;False;5.0;5.0;0.0;5.0;5.0
