WMC_CK_75%;WMC_CK_25%;WMC_CK_count;NMI;WMC_CK_50%;NOCh;NPM;WMC;NORM;NMIR;Bugged;WMC_CK_mean;WMC_CK_max;WMC_CK_min;DIT;WMC_CK_std
2.0;2.0;1.0;0.0;2.0;0.0;2.0;3.0;0.0;0.0;True;2.0;2.0;2.0;1.0;0.0
3.0;3.0;1.0;0.0;3.0;0.0;2.0;4.0;0.0;0.0;True;3.0;3.0;3.0;1.0;0.0
2.0;2.0;1.0;0.0;2.0;0.0;2.0;4.0;0.0;0.0;True;2.0;2.0;2.0;1.0;0.0
2.75;2.25;2.0;0.0;2.5;0.0;2.0;7.0;0.0;0.0;True;2.5;3.0;2.0;1.0;0.7071067811865476
1.75;1.25;2.0;0.0;1.5;0.0;2.0;3.0;0.0;0.0;True;1.5;2.0;1.0;1.0;0.7071067811865476
1.75;1.25;2.0;0.0;1.5;0.0;2.0;3.0;0.0;0.0;True;1.5;2.0;1.0;1.0;0.7071067811865476
1.75;1.25;2.0;0.0;1.5;0.0;2.0;7.0;0.0;0.0;True;1.5;2.0;1.0;1.0;0.7071067811865476
3.0;2.0;18.0;0.0;2.5;0.0;2.0;55.0;0.0;0.0;True;3.1666666666666665;15.0;1.0;1.0;3.1669246540936022
3.75;1.25;22.0;0.0;2.0;0.0;2.0;85.0;0.0;0.0;True;4.045454545454546;22.0;1.0;1.0;5.140662109729341
1.0;1.0;6.0;0.0;1.0;0.0;6.0;8.0;0.0;0.0;False;1.0;1.0;1.0;1.0;0.0
3.0;1.0;10.0;0.0;2.5;0.0;5.0;31.0;0.0;0.0;False;3.1;9.0;1.0;1.0;2.766867462592951
1.0;1.0;4.0;0.0;1.0;0.0;4.0;8.0;0.0;0.0;False;1.0;1.0;1.0;1.0;0.0
2.5;1.0;12.0;0.0;1.0;0.0;5.0;29.0;0.0;0.0;True;2.5;8.0;1.0;1.0;2.504541329810165
3.0;3.0;1.0;0.0;3.0;0.0;0.0;3.0;0.0;0.0;False;3.0;3.0;3.0;1.0;0.0
1.0;1.0;1.0;0.0;1.0;0.0;1.0;3.0;0.0;0.0;False;1.0;1.0;1.0;1.0;0.0
